LocationID,Borough,Zone,service_zone,Latitude,Longitude
1,EWR,Newark Airport,EWR,40.69183120640151,-74.17400027276302
2,Queens,Jamaica Bay,Boro Zone,40.61674529165988,-73.83129854302209
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86447368477544,-73.84742223236718
4,Manhattan,Alphabet City,Yellow Zone,40.72375214158479,-73.97696825691769
5,Staten Island,Arden Heights,Boro Zone,40.552659286945655,-74.1884841018493
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.60032414603465,-74.07177055895139
7,Queens,Astoria,Boro Zone,40.76149256216375,-73.91969431946073
8,Queens,Astoria Park,Boro Zone,40.77855865375072,-73.92308615750751
9,Queens,Auburndale,Boro Zone,40.75103502557237,-73.78794887777892
10,Queens,Baisley Park,Boro Zone,40.67895331011525,-73.79098635986959
11,Brooklyn,Bath Beach,Boro Zone,40.60427284003079,-74.00748815801174
12,Manhattan,Battery Park,Yellow Zone,40.70294583498472,-74.01556351255897
13,Manhattan,Battery Park City,Yellow Zone,40.71203815707452,-74.01607915192933
14,Brooklyn,Bay Ridge,Boro Zone,40.62483492360816,-74.02989237418788
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.783333047261,-73.78597227877707
16,Queens,Bayside,Boro Zone,40.76273837544242,-73.7734218189014
17,Brooklyn,Bedford,Boro Zone,40.69150749488062,-73.9499050350751
18,Bronx,Bedford Park,Boro Zone,40.86768245607541,-73.89018328872038
19,Queens,Bellerose,Boro Zone,40.735486779763306,-73.72665537528708
20,Bronx,Belmont,Boro Zone,40.85777967544162,-73.8858674810697
21,Brooklyn,Bensonhurst East,Boro Zone,40.60142943983516,-73.98353709672227
22,Brooklyn,Bensonhurst West,Boro Zone,40.61221825780563,-73.99525857986234
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.60644770102749,-74.17088688155239
24,Manhattan,Bloomingdale,Yellow Zone,40.80197049389962,-73.96547951516966
25,Brooklyn,Boerum Hill,Boro Zone,40.6856337413206,-73.98611382213656
26,Brooklyn,Borough Park,Boro Zone,40.63094965524549,-73.98866123078284
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.55913327946757,-73.90690832237581
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.71159635794508,-73.80872901637517
29,Brooklyn,Brighton Beach,Boro Zone,40.5809219719338,-73.96121676866855
30,Queens,Broad Channel,Boro Zone,40.60368744213565,-73.8219269567942
31,Bronx,Bronx Park,Boro Zone,40.85774668091587,-73.87547595053033
32,Bronx,Bronxdale,Boro Zone,40.86400220602359,-73.8649009987672
33,Brooklyn,Brooklyn Heights,Boro Zone,40.69579822121127,-73.9952501199663
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.700855738517134,-73.9711886923304
35,Brooklyn,Brownsville,Boro Zone,40.66400311792594,-73.9102578313613
36,Brooklyn,Bushwick North,Boro Zone,40.70052219951917,-73.9177105313157
37,Brooklyn,Bushwick South,Boro Zone,40.694994318442106,-73.92224002165717
38,Queens,Cambria Heights,Boro Zone,40.69434146723175,-73.73555427058821
39,Brooklyn,Canarsie,Boro Zone,40.63803713911706,-73.89973495669396
40,Brooklyn,Carroll Gardens,Boro Zone,40.6791990140971,-73.99595619089148
41,Manhattan,Central Harlem,Boro Zone,40.80433394979462,-73.95129200243511
42,Manhattan,Central Harlem North,Boro Zone,40.81825786111925,-73.94077166756267
43,Manhattan,Central Park,Yellow Zone,40.78247809974789,-73.9655535654591
44,Staten Island,Charleston/Tottenville,Boro Zone,40.52549458176375,-74.23353354937626
45,Manhattan,Chinatown,Yellow Zone,40.7124593117795,-73.9981514989905
46,Bronx,City Island,Boro Zone,40.84908594313966,-73.78198714613222
47,Bronx,Claremont/Bathgate,Boro Zone,40.842749176098,-73.90031590586489
48,Manhattan,Clinton East,Yellow Zone,40.76225275531935,-73.98984464313298
49,Brooklyn,Clinton Hill,Boro Zone,40.68796745714745,-73.9623635381836
50,Manhattan,Clinton West,Yellow Zone,40.76623772504185,-73.99513522075515
51,Bronx,Co-Op City,Boro Zone,40.87397305492024,-73.82826367307185
52,Brooklyn,Cobble Hill,Boro Zone,40.68665124165609,-73.99672403175194
53,Queens,College Point,Boro Zone,40.78091235579112,-73.84281349543195
54,Brooklyn,Columbia Street,Boro Zone,40.68720074733731,-74.00291127745281
55,Brooklyn,Coney Island,Boro Zone,40.57696075363784,-73.98794343407202
56,Queens,Corona,Boro Zone,40.74140677482974,-73.85884524944
56,Queens,Corona,Boro Zone,40.75181936699948,-73.85358156034263
58,Bronx,Country Club,Boro Zone,40.84145210068252,-73.82039319252782
59,Bronx,Crotona Park,Boro Zone,40.8385502885279,-73.89498588493973
60,Bronx,Crotona Park East,Boro Zone,40.833990477273865,-73.88590003419161
61,Brooklyn,Crown Heights North,Boro Zone,40.67446941826645,-73.93928705867957
62,Brooklyn,Crown Heights South,Boro Zone,40.66654040578562,-73.94878853931498
63,Brooklyn,Cypress Hills,Boro Zone,40.68383976195103,-73.87817261050252
64,Queens,Douglaston,Boro Zone,40.76061560532149,-73.73933714992859
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.695337529461135,-73.98608600498395
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.70225893882252,-73.98570161582295
67,Brooklyn,Dyker Heights,Boro Zone,40.61961946783515,-74.01380148744015
68,Manhattan,East Chelsea,Yellow Zone,40.74842755506573,-73.99991742024713
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.83141669708519,-73.91502929553268
70,Queens,East Elmhurst,Boro Zone,40.76335220113318,-73.86839559842028
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.64428817438918,-73.93796627061691
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.652364804077415,-73.92225097400491
73,Queens,East Flushing,Boro Zone,40.75410888689295,-73.80729418212232
74,Manhattan,East Harlem North,Boro Zone,40.80116948058648,-73.93734560812489
75,Manhattan,East Harlem South,Boro Zone,40.7900107514954,-73.94575026755157
76,Brooklyn,East New York,Boro Zone,40.66093519655056,-73.87682061127182
